Roll_no,Name,MST1,MST2,MST3,Best of 2,No. of Failed Attempts
1,Charvi Sami,1,16,85,50.5,2
2,Divit Manda,16,33,16,24.5,3
3,Hridaan Khosla,71,17,2,44,2
4,Dhruv Hari,18,4,50,34,2
5,Jivin Kashyap,54,77,48,65.5,0
6,Tarini Chad,51,69,55,62,0
7,Siya Upadhyay,100,90,68,95,0
8,Kabir Mangal,17,3,15,16,3
9,Sara Gandhi,7,69,93,81,1
10,Tara Rout,29,24,30,29.5,3
11,Dhruv Rana,21,74,98,86,1
12,Purab Gokhale,62,81,76,78.5,0
13,Eshani Doctor,68,13,22,45,2
14,Aarna Sampath,0,80,65,72.5,1
15,Stuvan Bail,73,29,43,58,1
16,Nirvaan Kohli,80,45,49,64.5,0
17,Navya Atwal,94,1,41,67.5,1
18,Kabir Khanna,47,61,57,59,0
19,Stuvan Dhillon,39,17,84,61.5,2
20,Pranay Boase,47,100,64,82,0
21,Indrans Comar,47,52,46,49.5,0
22,Jayesh Golla,38,57,15,47.5,2
23,Aradhya Kar,52,11,36,44,2
24,Pihu Handa,1,23,38,30.5,3
25,Prisha Zacharia,9,27,31,29,3
26,Misha De,42,54,35,48,1
27,Tushar Ray,54,31,78,66,1
28,Biju Raju,59,81,34,70,1
29,Lavanya Sarkar,18,21,42,31.5,2
30,Ojas Borah,100,88,46,94,0
31,Vardaniya Ganesan,29,92,6,60.5,2
32,Aaryahi Sha,14,5,59,36.5,2
33,Eshani Chakraborty,65,3,74,69.5,1
34,Tejas Varkey,3,93,98,95.5,1
35,Baiju Bahri,49,63,62,62.5,0
36,Kismat Batra,73,28,45,59,1
37,Aarna Wali,14,54,67,60.5,1
38,Kartik Keer,57,31,35,46,2
39,Suhana Chaudhari,70,85,40,77.5,0
40,Siya Vala,44,26,53,48.5,1
41,Kimaya Batra,34,17,47,40.5,2
42,Ayesha Barad,61,84,55,72.5,0
43,Nishith Thaman,7,61,97,79,1
44,Kaira Rajan,49,55,80,67.5,0
45,Divij Savant,39,72,36,55.5,2
46,Ishaan Tripathi,73,31,17,52,2
47,Tarini Bhalla,50,38,100,75,1
48,Shray Sankaran,43,30,4,36.5,2
49,Faiyaz Saini,69,51,12,60,1
50,Hridaan Hora,81,38,4,59.5,2
51,Ryan Chadha,74,53,35,63.5,1
52,Mahika Khosla,78,90,28,84,1
53,Raunak Kala,70,66,0,68,1
54,Anaya Yohannan,11,62,41,51.5,1
55,Sahil Handa,18,87,20,53.5,2
56,Drishya Jani,80,50,51,65.5,0
57,Miraya Bajaj,49,19,42,45.5,1
58,Miraya Chowdhury,5,68,73,70.5,1
59,Ehsaan Bahl,91,46,18,68.5,1
60,Armaan Khare,57,90,84,87,0
61,Veer Ratti,74,28,34,54,2
62,Kiara Ram,47,67,49,58,0
63,Ishaan Deep,53,81,87,84,0
