Roll_no,Name,MST1,MST2,MST3,Best of 2,No. of Failed Attempts
1,Charvi Sami,64,69,80,74.5,0
2,Divit Manda,51,74,8,62.5,1
3,Hridaan Khosla,69,83,2,76,1
4,Dhruv Hari,63,38,37,50.5,2
5,Jivin Kashyap,21,2,100,60.5,2
6,Tarini Chad,52,6,55,53.5,1
7,Siya Upadhyay,59,15,62,60.5,1
8,Kabir Mangal,22,83,5,52.5,2
9,Sara Gandhi,75,79,66,77,0
10,Tara Rout,3,12,78,45,2
11,Dhruv Rana,51,43,88,69.5,0
12,Purab Gokhale,8,69,21,45,2
13,Eshani Doctor,64,45,21,54.5,1
14,Aarna Sampath,87,79,74,83,0
15,Stuvan Bail,93,70,0,81.5,1
16,Nirvaan Kohli,100,14,78,89,1
17,Navya Atwal,13,12,59,36,2
18,Kabir Khanna,58,70,100,85,0
19,Stuvan Dhillon,73,21,59,66,1
20,Pranay Boase,14,98,30,64,2
21,Indrans Comar,34,11,59,46.5,2
22,Jayesh Golla,98,57,59,78.5,0
23,Aradhya Kar,5,22,5,13.5,3
24,Pihu Handa,95,27,29,62,2
25,Prisha Zacharia,46,65,80,72.5,0
26,Misha De,8,88,81,84.5,1
27,Tushar Ray,8,95,27,61,2
28,Biju Raju,59,95,97,96,0
29,Lavanya Sarkar,54,50,91,72.5,0
30,Ojas Borah,92,91,100,96,0
31,Vardaniya Ganesan,13,76,90,83,1
32,Aaryahi Sha,71,46,39,58.5,1
33,Eshani Chakraborty,18,71,51,61,1
34,Tejas Varkey,91,24,79,85,1
35,Baiju Bahri,6,73,15,44,2
36,Kismat Batra,6,13,86,49.5,2
37,Aarna Wali,30,98,31,64.5,2
38,Kartik Keer,95,77,18,86,1
39,Suhana Chaudhari,80,32,81,80.5,1
40,Siya Vala,29,12,98,63.5,2
41,Kimaya Batra,47,18,53,50,1
42,Ayesha Barad,26,16,65,45.5,2
43,Nishith Thaman,52,28,34,43,2
44,Kaira Rajan,24,41,68,54.5,1
45,Divij Savant,52,79,51,65.5,0
46,Ishaan Tripathi,62,78,100,89,0
47,Tarini Bhalla,34,72,33,53,2
48,Shray Sankaran,87,82,86,86.5,0
49,Faiyaz Saini,49,6,93,71,1
50,Hridaan Hora,4,3,70,37,2
51,Ryan Chadha,71,75,68,73,0
52,Mahika Khosla,89,37,83,86,1
53,Raunak Kala,67,44,18,55.5,1
54,Anaya Yohannan,55,66,68,67,0
55,Sahil Handa,74,58,32,66,1
56,Drishya Jani,92,57,41,74.5,0
57,Miraya Bajaj,68,87,63,77.5,0
58,Miraya Chowdhury,98,30,1,64,2
59,Ehsaan Bahl,17,8,82,49.5,2
60,Armaan Khare,99,82,9,90.5,1
61,Veer Ratti,2,54,36,45,2
62,Kiara Ram,97,83,59,90,0
63,Ishaan Deep,89,76,18,82.5,1
64,Baiju Kapur,35,37,20,36,3
65,Romil Ram,42,37,10,39.5,2
66,Nitara Lanka,46,31,13,38.5,2
67,Kabir Balakrishnan,1,62,96,79,1
68,Parinaaz Gulati,57,21,26,41.5,2
69,Anvi Bandi,84,70,81,82.5,0
70,Mahika Sankaran,3,2,3,3,3
71,Nirvaan Dasgupta,40,26,6,33,2
72,Aaina Ganesan,82,66,8,74,1
73,Sumer D’Alia,98,5,49,73.5,1
74,Darshit Setty,97,39,87,92,1
75,Pihu Krish,75,44,81,78,0
76,Anya Lala,26,31,71,51,2
77,Suhana Wali,87,76,89,88,0
78,Prisha Gour,75,54,41,64.5,0
79,Zoya Dara,9,98,10,54,2
80,Zeeshan Mangal,63,33,36,49.5,2
81,Lakshay Gaba,0,35,1,18,3
