Roll_no,Name,MST1,MST2,MST3,Best of 2,No. of Failed Attempts
1,Charvi Sami,60,62,0,61,1
2,Divit Manda,15,55,49,52,1
3,Hridaan Khosla,31,76,20,53.5,2
4,Dhruv Hari,69,43,15,56,1
5,Jivin Kashyap,7,32,64,48,2
6,Tarini Chad,50,4,41,45.5,1
7,Siya Upadhyay,43,74,90,82,0
8,Kabir Mangal,61,65,46,63,0
9,Sara Gandhi,93,96,61,94.5,0
10,Tara Rout,37,44,91,67.5,1
11,Dhruv Rana,0,51,38,44.5,2
12,Purab Gokhale,0,26,78,52,2
13,Eshani Doctor,14,51,12,32.5,2
14,Aarna Sampath,29,27,96,62.5,2
15,Stuvan Bail,24,75,18,49.5,2
16,Nirvaan Kohli,96,19,53,74.5,1
17,Navya Atwal,80,61,8,70.5,1
18,Kabir Khanna,87,47,85,86,0
19,Stuvan Dhillon,54,80,38,67,1
20,Pranay Boase,15,86,52,69,1
21,Indrans Comar,90,81,81,85.5,0
22,Jayesh Golla,28,86,51,68.5,1
23,Aradhya Kar,10,57,39,48,2
24,Pihu Handa,52,65,80,72.5,0
25,Prisha Zacharia,9,22,70,46,2
26,Misha De,33,56,27,44.5,2
27,Tushar Ray,1,48,94,71,1
28,Biju Raju,73,10,45,59,1
29,Lavanya Sarkar,20,50,24,37,2
30,Ojas Borah,93,69,56,81,0
31,Vardaniya Ganesan,89,53,65,77,0
32,Aaryahi Sha,33,73,99,86,1
33,Eshani Chakraborty,100,93,32,96.5,1
34,Tejas Varkey,43,78,51,64.5,0
35,Baiju Bahri,19,27,56,41.5,2
36,Kismat Batra,63,37,59,61,1
37,Aarna Wali,65,10,27,46,2
38,Kartik Keer,11,41,15,28,2
39,Suhana Chaudhari,56,1,12,34,2
40,Siya Vala,44,98,91,94.5,0
41,Kimaya Batra,52,3,69,60.5,1
42,Ayesha Barad,37,15,18,27.5,3
43,Nishith Thaman,8,84,9,46.5,2
44,Kaira Rajan,22,98,32,65,2
45,Divij Savant,52,61,26,56.5,1
46,Ishaan Tripathi,7,69,35,52,2
47,Tarini Bhalla,6,23,91,57,2
48,Shray Sankaran,29,29,94,61.5,2
49,Faiyaz Saini,39,38,25,38.5,3
50,Hridaan Hora,50,27,75,62.5,1
51,Ryan Chadha,40,18,42,41,1
52,Mahika Khosla,70,28,84,77,1
53,Raunak Kala,45,90,76,83,0
54,Anaya Yohannan,42,3,3,22.5,2
55,Sahil Handa,51,53,6,52,1
56,Drishya Jani,100,44,15,72,1
57,Miraya Bajaj,3,76,66,71,1
58,Miraya Chowdhury,34,32,50,42,2
59,Ehsaan Bahl,0,39,65,52,2
