Roll_no,Name,MST1,MST2,MST3,Best of 2,No. of Failed Attempts
1,Charvi Sami,83,30,25,56.5,2
2,Divit Manda,37,30,72,54.5,2
3,Hridaan Khosla,58,83,75,79,0
4,Dhruv Hari,22,69,61,65,1
5,Jivin Kashyap,56,81,2,68.5,1
6,Tarini Chad,16,36,11,26,3
7,Siya Upadhyay,33,78,8,55.5,2
8,Kabir Mangal,3,43,96,69.5,1
9,Sara Gandhi,49,24,2,36.5,2
10,Tara Rout,63,62,56,62.5,0
11,Dhruv Rana,62,62,25,62,1
12,Purab Gokhale,86,18,45,65.5,1
13,Eshani Doctor,19,31,61,46,2
14,Aarna Sampath,30,21,62,46,2
15,Stuvan Bail,68,12,98,83,1
16,Nirvaan Kohli,76,47,60,68,0
17,Navya Atwal,11,95,19,57,2
18,Kabir Khanna,35,76,28,55.5,2
19,Stuvan Dhillon,64,47,98,81,0
20,Pranay Boase,2,17,1,9.5,3
21,Indrans Comar,22,32,83,57.5,2
22,Jayesh Golla,29,84,63,73.5,1
23,Aradhya Kar,57,14,31,44,2
24,Pihu Handa,26,12,20,23,3
25,Prisha Zacharia,45,90,17,67.5,1
26,Misha De,45,56,60,58,0
27,Tushar Ray,93,81,71,87,0
28,Biju Raju,37,72,100,86,1
29,Lavanya Sarkar,79,88,96,92,0
30,Ojas Borah,44,52,49,50.5,0
31,Vardaniya Ganesan,12,44,34,39,2
32,Aaryahi Sha,66,68,84,76,0
33,Eshani Chakraborty,42,13,38,40,2
34,Tejas Varkey,85,64,40,74.5,0
35,Baiju Bahri,23,48,19,35.5,2
36,Kismat Batra,42,50,74,62,0
37,Aarna Wali,52,1,69,60.5,1
38,Kartik Keer,53,75,50,64,0
39,Suhana Chaudhari,92,80,82,87,0
40,Siya Vala,19,81,57,69,1
41,Kimaya Batra,83,55,22,69,1
42,Ayesha Barad,67,90,20,78.5,1
43,Nishith Thaman,12,20,55,37.5,2
44,Kaira Rajan,81,17,6,49,2
45,Divij Savant,75,71,53,73,0
46,Ishaan Tripathi,7,53,27,40,2
47,Tarini Bhalla,69,54,50,61.5,0
48,Shray Sankaran,52,22,27,39.5,2
49,Faiyaz Saini,40,14,37,38.5,2
50,Hridaan Hora,87,25,76,81.5,1
51,Ryan Chadha,37,16,44,40.5,2
52,Mahika Khosla,96,35,1,65.5,2
53,Raunak Kala,48,29,22,38.5,2
54,Anaya Yohannan,61,95,3,78,1
55,Sahil Handa,83,23,53,68,1
56,Drishya Jani,13,32,77,54.5,2
57,Miraya Bajaj,32,92,53,72.5,1
58,Miraya Chowdhury,40,16,18,29,2
59,Ehsaan Bahl,95,96,99,97.5,0
60,Armaan Khare,77,78,44,77.5,0
61,Veer Ratti,90,62,98,94,0
62,Kiara Ram,72,3,57,64.5,1
63,Ishaan Deep,62,2,87,74.5,1
64,Baiju Kapur,33,93,75,84,1
65,Romil Ram,23,0,68,45.5,2
66,Nitara Lanka,10,29,85,57,2
67,Kabir Balakrishnan,33,87,9,60,2
68,Parinaaz Gulati,15,99,94,96.5,1
69,Anvi Bandi,67,66,49,66.5,0
70,Mahika Sankaran,95,1,86,90.5,1
71,Nirvaan Dasgupta,47,7,97,72,1
72,Aaina Ganesan,40,33,81,60.5,1
73,Sumer D’Alia,85,69,86,85.5,0
74,Darshit Setty,18,67,55,61,1
75,Pihu Krish,91,41,17,66,1
76,Anya Lala,79,70,43,74.5,0
77,Suhana Wali,46,33,72,59,1
78,Prisha Gour,63,70,62,66.5,0
79,Zoya Dara,4,49,13,31,2
80,Zeeshan Mangal,34,21,16,27.5,3
81,Lakshay Gaba,81,24,64,72.5,1
82,Vardaniya Tara,88,43,26,65.5,1
83,Akarsh Bhat,62,95,40,78.5,0
84,Raunak Chanda,70,86,90,88,0
85,Anaya Bala,100,46,17,73,1
86,Yashvi Sule,56,54,8,55,1
87,Dhanush Singhal,89,14,100,94.5,1
88,Dhanush Chander,97,57,64,80.5,0
89,Ahana  Babu,60,52,45,56,0
90,Myra Soman,8,61,13,37,2
91,Zara Vyas,84,63,43,73.5,0
92,Indrans Brar,79,73,94,86.5,0
93,Emir Kumer,80,36,41,60.5,1
94,Tushar Seshadri,34,1,28,31,3
95,Ivan Samra,100,83,59,91.5,0
96,Oorja Bhattacharyya,68,49,96,82,0
97,Neelofar Vohra,55,92,2,73.5,1
98,Vidur Tandon,41,68,49,58.5,0
99,Charvi Seth,82,53,44,67.5,0
100,Samar Bhasin,46,42,73,59.5,0
101,Elakshi Kaur,6,20,0,13,3
102,Saira Comar,63,55,97,80,0
103,Nitya Sunder,67,3,5,36,2
104,Ranbir Gaba,35,13,30,32.5,3
105,Himmat Wadhwa,18,61,89,75,1
106,Heer Dugar,17,70,57,63.5,1
107,Arnav Date,2,47,53,50,1
108,Hansh Sarkar,21,48,60,54,1
109,Biju Sarraf,25,37,76,56.5,2
110,Aarna Jha,81,27,98,89.5,1
111,Fateh Varughese,74,60,15,67,1
112,Riya Mandal,33,94,2,63.5,2
113,Tushar Mangat,95,50,13,72.5,1
114,Mannat D’Alia,0,54,97,75.5,1
115,Kiara Mahajan,30,23,44,37,2
