Roll_no,Name,MST1,MST2,MST3,Best of 2,No. of Failed Attempts
1,Charvi Sami,4,37,97,67,2
2,Divit Manda,1,96,75,85.5,1
3,Hridaan Khosla,17,4,79,48,2
4,Dhruv Hari,6,72,61,66.5,1
5,Jivin Kashyap,56,32,7,44,2
6,Tarini Chad,93,97,62,95,0
7,Siya Upadhyay,73,46,67,70,0
8,Kabir Mangal,83,80,47,81.5,0
9,Sara Gandhi,1,53,92,72.5,1
10,Tara Rout,47,92,53,72.5,0
11,Dhruv Rana,20,76,63,69.5,1
12,Purab Gokhale,75,31,25,53,2
13,Eshani Doctor,99,27,53,76,1
14,Aarna Sampath,97,74,6,85.5,1
15,Stuvan Bail,79,51,9,65,1
16,Nirvaan Kohli,100,98,49,99,0
17,Navya Atwal,26,43,4,34.5,2
18,Kabir Khanna,59,81,67,74,0
19,Stuvan Dhillon,11,45,96,70.5,1
20,Pranay Boase,93,16,46,69.5,1
21,Indrans Comar,33,2,100,66.5,2
22,Jayesh Golla,29,67,61,64,1
23,Aradhya Kar,89,88,60,88.5,0
24,Pihu Handa,37,67,70,68.5,1
25,Prisha Zacharia,29,1,44,36.5,2
26,Misha De,52,15,38,45,2
27,Tushar Ray,4,69,20,44.5,2
28,Biju Raju,35,47,83,65,1
29,Lavanya Sarkar,44,86,20,65,1
30,Ojas Borah,75,68,79,77,0
31,Vardaniya Ganesan,57,96,43,76.5,0
32,Aaryahi Sha,20,70,31,50.5,2
33,Eshani Chakraborty,46,90,96,93,0
34,Tejas Varkey,89,9,78,83.5,1
35,Baiju Bahri,11,73,20,46.5,2
36,Kismat Batra,21,77,4,49,2
37,Aarna Wali,17,21,83,52,2
38,Kartik Keer,61,70,2,65.5,1
39,Suhana Chaudhari,17,81,73,77,1
40,Siya Vala,32,72,44,58,1
41,Kimaya Batra,91,65,79,85,0
42,Ayesha Barad,46,62,42,54,0
43,Nishith Thaman,25,39,30,34.5,3
44,Kaira Rajan,91,73,60,82,0
45,Divij Savant,5,20,43,31.5,2
46,Ishaan Tripathi,98,7,31,64.5,2
47,Tarini Bhalla,71,87,43,79,0
48,Shray Sankaran,1,17,73,45,2
49,Faiyaz Saini,34,76,5,55,2
50,Hridaan Hora,9,31,99,65,2
51,Ryan Chadha,33,65,62,63.5,1
52,Mahika Khosla,83,53,40,68,0
53,Raunak Kala,98,37,69,83.5,1
54,Anaya Yohannan,19,35,62,48.5,2
55,Sahil Handa,27,23,69,48,2
56,Drishya Jani,96,32,85,90.5,1
57,Miraya Bajaj,47,2,30,38.5,2
58,Miraya Chowdhury,74,6,62,68,1
59,Ehsaan Bahl,51,33,45,48,1
60,Armaan Khare,96,16,18,57,2
61,Veer Ratti,100,1,91,95.5,1
62,Kiara Ram,65,89,67,78,0
63,Ishaan Deep,95,0,67,81,1
64,Baiju Kapur,33,32,52,42.5,2
65,Romil Ram,79,2,100,89.5,1
66,Nitara Lanka,8,48,3,28,2
67,Kabir Balakrishnan,33,58,89,73.5,1
68,Parinaaz Gulati,81,49,37,65,1
69,Anvi Bandi,24,86,77,81.5,1
70,Mahika Sankaran,38,37,69,53.5,2
71,Nirvaan Dasgupta,51,43,11,47,1
72,Aaina Ganesan,26,51,40,45.5,1
73,Sumer D’Alia,4,89,45,67,1
74,Darshit Setty,85,37,16,61,2
75,Pihu Krish,96,68,83,89.5,0
76,Anya Lala,93,91,78,92,0
77,Suhana Wali,69,11,65,67,1
78,Prisha Gour,6,29,56,42.5,2
79,Zoya Dara,53,31,9,42,2
80,Zeeshan Mangal,0,55,49,52,1
81,Lakshay Gaba,52,36,45,48.5,1
82,Vardaniya Tara,53,83,77,80,0
83,Akarsh Bhat,69,94,76,85,0
84,Raunak Chanda,49,80,91,85.5,0
85,Anaya Bala,48,87,95,91,0
86,Yashvi Sule,16,40,97,68.5,1
87,Dhanush Singhal,0,4,4,4,3
88,Dhanush Chander,6,63,1,34.5,2
89,Ahana  Babu,37,18,66,51.5,2
90,Myra Soman,58,81,8,69.5,1
91,Zara Vyas,93,68,76,84.5,0
92,Indrans Brar,72,45,3,58.5,1
93,Emir Kumer,16,26,95,60.5,2
94,Tushar Seshadri,27,9,3,18,3
95,Ivan Samra,89,52,66,77.5,0
96,Oorja Bhattacharyya,22,96,85,90.5,1
97,Neelofar Vohra,2,40,41,40.5,1
98,Vidur Tandon,11,83,63,73,1
99,Charvi Seth,52,23,74,63,1
100,Samar Bhasin,44,65,40,54.5,0
101,Elakshi Kaur,21,79,61,70,1
102,Saira Comar,100,90,72,95,0
103,Nitya Sunder,35,62,76,69,1
104,Ranbir Gaba,67,31,72,69.5,1
105,Himmat Wadhwa,17,3,88,52.5,2
106,Heer Dugar,67,47,45,57,0
107,Arnav Date,81,72,50,76.5,0
108,Hansh Sarkar,93,86,59,89.5,0
109,Biju Sarraf,41,7,90,65.5,1
110,Aarna Jha,13,33,18,25.5,3
111,Fateh Varughese,74,65,37,69.5,1
112,Riya Mandal,30,19,18,24.5,3
113,Tushar Mangat,45,52,87,69.5,0
114,Mannat D’Alia,32,0,10,21,3
115,Kiara Mahajan,48,91,12,69.5,1
116,Eshani Bajaj,72,79,66,75.5,0
117,Ehsaan Das,81,3,87,84,1
118,Ishita Bassi,31,20,11,25.5,3
119,Oorja Vohra,72,37,35,54.5,2
120,Veer Kata,53,86,93,89.5,0
121,Ojas Raj,22,61,14,41.5,2
122,Gatik Doctor,54,89,5,71.5,1
123,Indrajit Ghosh,65,54,94,79.5,0
124,Mamooty Ganesan,1,82,51,66.5,1
125,Yuvraj  Bhatt,26,53,32,42.5,2
126,Aaina Dara,42,31,34,38,2
127,Raghav Dass,26,69,89,79,1
128,Nayantara Batta,40,65,4,52.5,1
129,Devansh Dewan,79,8,32,55.5,2
130,Samiha Swamy,74,46,56,65,0
131,Jayesh Goyal,69,25,93,81,1
132,Alisha Sura,8,82,91,86.5,1
133,Pihu Agarwal,72,78,85,81.5,0
134,Vivaan Borra,59,89,63,76,0
135,Rohan Ahluwalia,20,3,61,40.5,2
136,Hridaan Karan,9,79,61,70,1
137,Samiha Bawa,66,33,16,49.5,2
138,Tarini Srinivas,76,72,57,74,0
139,Kabir Vasa,17,38,79,58.5,2
140,Sahil Kunda,72,39,58,65,1
141,Kaira Vig,25,1,19,22,3
142,Kiara Verma,16,4,89,52.5,2
143,Yakshit Baral,47,62,3,54.5,1
144,Arnav Iyengar,6,66,83,74.5,1
145,Biju Dutt,44,75,30,59.5,1
146,Tara Walla,61,17,53,57,1
147,Sahil Aggarwal,89,63,41,76,0
148,Zaina Sarraf,12,44,26,35,2
149,Anahita Kala,79,17,22,50.5,2
150,Umang Barman,59,31,6,45,2
151,Vihaan Bahl,44,24,60,52,1
152,Riya Jain,58,44,4,51,1
153,Adah Varty,40,26,37,38.5,2
154,Nishith Keer,48,84,97,90.5,0
155,Veer Ratti,37,71,61,66,1
156,Vivaan Bhatia,65,91,78,84.5,0
157,Saira Talwar,24,73,83,78,1
158,Emir Gopal,84,26,69,76.5,1
159,Fateh Dhingra,16,96,82,89,1
160,Rhea Sani,79,39,25,59,2
161,Vivaan Dora,56,8,66,61,1
162,Uthkarsh Keer,84,22,33,58.5,2
163,Anay Kale,62,60,58,61,0
164,Ahana  Gupta,53,16,60,56.5,1
165,Taran Korpal,93,44,14,68.5,1
166,Prerak Ganguly,48,37,34,42.5,2
167,Arnav Salvi,71,19,30,50.5,2
168,Aradhya Hans,99,95,25,97,1
169,Myra Ghosh,35,39,72,55.5,2
170,Tiya Upadhyay,40,10,52,46,1
171,Vivaan Yadav,11,40,51,45.5,1
172,Hazel Sanghvi,46,87,44,66.5,0
173,Oorja Chand,76,27,8,51.5,2
174,Saanvi Batta,89,22,6,55.5,2
175,Ishita Agate,65,59,79,72,0
176,Sahil Sangha,61,72,17,66.5,1
177,Vivaan Trivedi,23,56,90,73,1
178,Kanav Sarraf,43,25,96,69.5,1
179,Eva Choudhry,55,6,36,45.5,2
180,Anay Atwal,69,40,60,64.5,0
181,Hansh Tara,97,16,20,58.5,2
182,Dhruv Sandal,7,6,78,42.5,2
183,Purab Uppal,24,54,1,39,2
184,Ojas Choudhary,17,15,97,57,2
185,Aniruddh Singhal,3,69,4,36.5,2
186,Hansh Salvi,77,81,73,79,0
187,Vidur Walla,62,22,14,42,2
188,Zaina Dubey,82,72,56,77,0
189,Yasmin Date,4,89,35,62,2
190,Zoya Ranganathan,42,62,3,52,1
191,Baiju Agrawal,86,46,94,90,0
192,Anahita Kant,65,36,85,75,1
193,Lakshay Trivedi,16,77,19,48,2
194,Devansh Arya,53,92,4,72.5,1
195,Charvi Sachdev,54,92,33,73,1
196,Vanya Vala,37,72,85,78.5,1
197,Saksham Bose,21,34,67,50.5,2
198,Divyansh Lata,92,79,95,93.5,0
199,Anahi Mand,22,74,86,80,1
200,Anya Ganesh,32,88,54,71,1
201,Akarsh Sani,68,70,38,69,1
202,Ehsaan Deo,0,100,29,64.5,2
203,Yasmin Chahal,70,29,62,66,1
204,Taran Kumer,30,97,90,93.5,1
205,Ayesha Yadav,99,41,8,70,1
206,Vaibhav Gade,70,92,40,81,0
207,Aarav Ganguly,97,79,92,94.5,0
208,Sahil Tripathi,2,53,93,73,1
209,Krish Sarkar,59,55,68,63.5,0
210,Taimur Thakkar,20,60,97,78.5,1
211,Nirvi Sankaran,90,29,11,59.5,2
212,Vidur Sarraf,42,7,71,56.5,1
213,Renee Agarwal,47,45,91,69,0
214,Rhea Chander,6,93,15,54,2
215,Samar Anand,86,46,26,66,1
216,Anya Sahota,93,34,25,63.5,2
217,Vidur Dugar,44,28,66,55,1
218,Rati Bains,84,19,22,53,2
219,Ira Gola,82,20,65,73.5,1
220,Chirag Barad,26,7,33,29.5,3
221,Ela Kaur,80,25,88,84,1
222,Bhavin Swamy,88,44,43,66,0
223,Alia Banik,33,96,15,64.5,2
224,Pari Balakrishnan,66,13,77,71.5,1
225,Amira Arora,8,17,64,40.5,2
226,Bhavin Bose,93,13,76,84.5,1
227,Pihu Lata,43,16,56,49.5,1
228,Raghav Soman,80,6,13,46.5,2
229,Eshani Lall,48,37,16,42.5,2
230,Rati Bassi,37,99,29,68,2
231,Emir Sibal,55,43,47,51,0
232,Trisha Sane,66,91,18,78.5,1
233,Lavanya Edwin,27,91,68,79.5,1
234,Kiaan Hayre,15,83,48,65.5,1
235,Mishti Mand,23,19,65,44,2
236,Advik Sanghvi,70,15,5,42.5,2
237,Nayantara Subramanian,93,95,36,94,1
238,Aarush Sahota,17,39,9,28,3
239,Rania Dar,50,7,50,50,1
240,Uthkarsh Mandal,87,48,93,90,0
241,Ela Tata,36,24,30,33,3
242,Arnav Sankaran,34,45,77,61,1
243,Vivaan Aggarwal,30,37,17,33.5,3
244,Chirag Saxena,76,95,100,97.5,0
245,Shanaya Korpal,44,78,19,61,1
246,Siya Grewal,67,23,92,79.5,1
247,Reyansh Chawla,55,18,22,38.5,2
248,Hrishita Deshmukh,72,19,85,78.5,1
249,Riya Bhatia,4,75,87,81,1
250,Armaan Agrawal,92,97,66,94.5,0
251,Eva Master,16,50,20,35,2
252,Rania Loyal,15,17,3,16,3
253,Gatik Vala,48,19,84,66,1
254,Mishti Zacharia,65,86,6,75.5,1
255,Emir Sachar,31,23,60,45.5,2
256,Inaaya  Bhavsar,19,65,41,53,1
257,Divyansh Kaul,40,4,41,40.5,1
258,Shanaya Seshadri,84,64,97,90.5,0
259,Aarav Sengupta,70,55,5,62.5,1
260,Dhanuk Behl,70,85,15,77.5,1
261,Ivan Grewal,28,44,29,36.5,2
262,Samiha Kapoor,88,55,58,73,0
263,Kabir Ghose,61,99,22,80,1
264,Renee Vasa,1,5,88,46.5,2
265,Hunar Bal,88,94,2,91,1
266,Tejas Kale,4,21,81,51,2
267,Aradhya Agarwal,96,53,36,74.5,1
268,Baiju Arya,90,66,14,78,1
269,Nishith Soni,57,78,54,67.5,0
270,Taimur Keer,82,77,97,89.5,0
271,Nitya Anne,87,60,28,73.5,1
272,Saanvi Wable,37,64,51,57.5,1
273,Abram Kurian,55,33,1,44,2
274,Rohan Sangha,39,14,81,60,2
275,Saksham Sarna,13,31,43,37,2
276,Jayant Keer,57,1,33,45,2
277,Tiya Chopra,100,43,38,71.5,1
278,Adah Kar,76,80,0,78,1
279,Misha Gupta,32,94,70,82,1
