Roll_no,Name,MST1,MST2,MST3,Best of 2,No. of Failed Attempts
1,Charvi Sami,64,36,11,50,2
2,Divit Manda,32,99,91,95,1
3,Hridaan Khosla,95,39,89,92,1
4,Dhruv Hari,13,24,4,18.5,3
5,Jivin Kashyap,19,23,40,31.5,2
6,Tarini Chad,56,62,64,63,0
7,Siya Upadhyay,73,81,45,77,0
8,Kabir Mangal,74,26,14,50,2
9,Sara Gandhi,59,61,19,60,1
10,Tara Rout,64,73,38,68.5,1
11,Dhruv Rana,46,15,64,55,1
12,Purab Gokhale,30,83,67,75,1
13,Eshani Doctor,95,28,19,61.5,2
14,Aarna Sampath,89,50,79,84,0
15,Stuvan Bail,62,85,43,73.5,0
16,Nirvaan Kohli,79,23,74,76.5,1
17,Navya Atwal,59,66,68,67,0
18,Kabir Khanna,79,34,85,82,1
19,Stuvan Dhillon,47,95,84,89.5,0
20,Pranay Boase,28,41,82,61.5,1
21,Indrans Comar,39,15,18,28.5,3
22,Jayesh Golla,17,7,100,58.5,2
23,Aradhya Kar,1,25,6,15.5,3
24,Pihu Handa,22,1,35,28.5,3
25,Prisha Zacharia,63,60,82,72.5,0
26,Misha De,59,59,30,59,1
27,Tushar Ray,8,90,54,72,1
28,Biju Raju,9,4,48,28.5,2
29,Lavanya Sarkar,19,78,52,65,1
30,Ojas Borah,54,78,36,66,1
31,Vardaniya Ganesan,38,4,73,55.5,2
32,Aaryahi Sha,68,33,32,50.5,2
33,Eshani Chakraborty,74,53,62,68,0
34,Tejas Varkey,69,81,92,86.5,0
35,Baiju Bahri,93,69,46,81,0
36,Kismat Batra,31,52,31,41.5,2
37,Aarna Wali,94,95,36,94.5,1
38,Kartik Keer,52,92,53,72.5,0
39,Suhana Chaudhari,52,62,51,57,0
40,Siya Vala,85,95,75,90,0
41,Kimaya Batra,7,32,99,65.5,2
42,Ayesha Barad,96,23,58,77,1
43,Nishith Thaman,92,26,61,76.5,1
44,Kaira Rajan,49,31,100,74.5,1
45,Divij Savant,28,36,38,37,3
