Roll_no,Name,Gender,Student_Email,Parent_Email,Contact No.,Parents Name,DOB
1,Charvi Sami,Female,rbuch@gmail.com,ahana-madan@gmail.com,6922529642,Tarini Arora,25-02-2004
2,Divit Manda,Male,diya89@gmail.com,onkardhawan@gmail.com,6824293891,Saksham Buch,29-09-2005
3,Hridaan Khosla,Male,bhavindalia@hotmail.com,saxenaseher@iyengar-warrior.com,922721900,Ehsaan Bhandari,19-10-2004
4,Dhruv Hari,Female,riya69@hotmail.com,dasguptaurvi@chaudhuri-acharya.com,9.16E+11,Drishya Chacko,11-10-2001
5,Jivin Kashyap,Female,siyaswamy@yahoo.com,bhaktarenee@hans-lall.biz,9.15E+11,Shray Kalla,08-02-2003
6,Tarini Chad,Female,prishagole@gmail.com,heer41@hotmail.com,9.16E+11,Taimur Barad,23-11-2005
7,Siya Upadhyay,Female,raunakkari@yahoo.com,sumergara@gmail.com,5971447081,Inaaya  Batra,08-08-2003
8,Kabir Mangal,Female,vedikadatta@yahoo.com,wwason@wali.com,5349806907,Keya Jani,13-02-2004
9,Sara Gandhi,Female,jhaveritrisha@gmail.com,sharafrati@yahoo.com,6167419891,Dhanuk Bawa,15-03-2005
10,Tara Rout,Male,zeeshananne@yahoo.com,chiragdeol@ranganathan.net,6925675322,Yuvaan Subramaniam,03-12-2000
11,Dhruv Rana,Female,qkamdar@amble.com,ambletarini@kannan-doctor.net,4650091040,Vardaniya Kapoor,31-03-2003
12,Purab Gokhale,Male,abora@sule-dyal.com,sairavarma@saha.com,9.19E+11,Mahika Warrior,28-11-2001
13,Eshani Doctor,Female,hunar96@hotmail.com,sastryaradhya@tiwari.biz,1175367818,Fateh Ramachandran,11-03-2006
14,Aarna Sampath,Male,qshenoy@gour.com,sakshamsehgal@bala-dhaliwal.com,9.19E+11,Madhav Kant,06-01-2003
15,Stuvan Bail,Male,kimaya00@yahoo.com,wsarin@kapoor.com,6424338510,Krish Sur,04-09-2001
16,Nirvaan Kohli,Male,rheasood@srinivas.com,dharindrajit@gmail.com,4722907181,Taran Tata,20-09-2001
17,Navya Atwal,Female,edwinurvi@yahoo.com,agatetarini@hotmail.com,1686416937,Miraan Rattan,22-04-2002
18,Kabir Khanna,Male,madhavvasa@gmail.com,kiara43@yahoo.com,9.19E+11,Damini Dass,12-06-2004
19,Stuvan Dhillon,Female,armaanbhasin@hotmail.com,rraj@hotmail.com,6462040485,Shayak Kota,23-04-2007
20,Pranay Boase,Male,zsami@mall-kumar.com,yasmin20@hotmail.com,9.19E+11,Arhaan Bajwa,12-11-2001
21,Indrans Comar,Male,shrayramanathan@hotmail.com,hridaan62@hotmail.com,8767597919,Faiyaz Korpal,31-01-2002
22,Jayesh Golla,Female,bawaanaya@sampath.com,hkumer@soman-vora.com,481233134,Shray Contractor,23-07-2007
23,Aradhya Kar,Male,brarhridaan@kala-wadhwa.com,eshaniramakrishnan@dube-mannan.com,5848177589,Mahika Doshi,23-12-2006
24,Pihu Handa,Male,krishromil@kadakia.info,oissac@raju.com,976732973,Farhan Khosla,17-12-2004
